Aéroport_international_de_Tunis_Carthage Aéroport_international_de_London 11 1 2019 1 1h 3 300,000000 1111111
Aéroport_international_de_Tunis_Carthage Aéroport_international_de_Del_Rio 11 1 2019 2 2h 50 200,000000 456
Aéroport_international_de_Tunis_Carthage Aéroport_Santa_Maria 11 1 2019 1 3h 50 10,000000 789
Aéroport_international_de_Tunis_Carthage Aéroport_JFK 11 1 2019 1 4h 48 101,000000 12
Aéroport_international_de_Tunis_Carthage Aéroport_Gimpo 11 1 2019 1 5h 49 102,000000 12564
Aéroport_international_de_Tunis_Carthage Aéroport_international_de_Pékin 11 1 2019 2 6h 50 103,000000 54
Aéroport_international_de_London Aéroport_international_de_Tunis_Carthage 11 1 2019 2 7h 50 104,000000 56
Aéroport_international_de_London Aéroport_international_de_Del_Rio 11 1 2019 1 8h 50 105,000000 546
Aéroport_international_de_London Aéroport_JFK 11 1 2019 2 9h 49 106,000000 654
Aéroport_international_de_London Aéroport_Santa_Maria 11 1 2019 1 10h 50 107,000000 541
Aéroport_international_de_London Aéroport_Gimpo 11 1 2019 2 11h 50 108,000000 15234
Aéroport_international_de_London Aéroport_international_de_Pékin 11 1 2019 1 12h 50 109,000000 546
Aéroport_international_de_Del_Rio Aéroport_international_de_London 11 1 2019 1 13h 50 111,000000 132
Aéroport_international_de_Del_Rio Aéroport_JFK 11 1 2019 1 14h 50 112,000000 351
Aéroport_international_de_Del_Rio Aéroport_Santa_Maria 11 1 2019 1 16h 50 2,000000 321
Aéroport_international_de_Del_Rio Aéroport_Gimpo 11 1 2019 2 17h 50 3,000000 564
Aéroport_international_de_Del_Rio Aéroport_international_de_Pékin 11 1 2019 2 18h 50 4,000000 312
Aéroport_international_de_Del_Rio Aéroport_international_de_Tunis_Carthage 11 1 2019 1 19h 50 5,000000 123
Aéroport_JFK Aéroport_international_de_London 11 1 2019 1 20h 50 787,000000 123
Aéroport_JFK Aéroport_international_de_Del_Rio 11 1 2019 1 21h 50 1010,000000 123
Aéroport_JFK Aéroport_Santa_Marina 11 1 2019 1 22h 50 1200,000000 123
Aéroport_JFK Aéroport_Gimpo 11 1 2019 1 23h 50 1500,000000 123
Aéroport_JFK Aéroport_international_de_Pékin 11 1 2019 2 1.30h 50 1005,000000 123
Aéroport_JFK Aéroport_international_de_Tunis_Carthage 11 1 2019 2 1.40h 50 1050,000000 123
Aéroport_Santa_Maria Aéroport_international_de_London 11 1 2019 2 1.54h 50 1007,000000 123
Aéroport_Santa_Maria Aéroport_international_de_Del_Rio 11 1 2019 2 2.45h 50 10089,000000 123
Aéroport_Santa_Maria Aéroport_JFK 11 1 2019 2 3.45h 50 10540,000000 123
Aéroport_Santa_Maria Aéroport_international_de_Pékin 11 1 2019 1 5.45h 50 11500,000000 123
Aéroport_Santa_Maria Aéroport_Gimpo 11 1 2019 2 6.52h 50 10540,000000 123
Aéroport_Gimpo Aéroport_JFK 11 1 2019 2 3.20h 50 20,000000 123
Aéroport_Gimpo Aéroport_international_de_Del_Rio 11 1 2019 1 2.30h 50 100478,000000 123
Aéroport_Gimpo Aéroport_international_de_London 11 1 2019 1 1.10h 50 10870,000000 123
Aéroport_Gimpo Aéroport_Santa_Marina 11 1 2019 1 7.10h 50 1800,000000 123
Aéroport_Gimpo Aéroport_international_de_Pékin 11 1 2019 1 7.11h 50 1700,000000 123
Aéroport_Gimpo Aéroport_international_de_Tunis_Carthage 11 1 2019 1 7.12h 50 14600,000000 123
Aéroport_international_de_Pékin Aéroport_international_de_Tunis_Carthage 11 1 2019 1 7.13h 50 14500,000000 123
Aéroport_international_de_Pékin Aéroport_Santa_Marina 11 1 2019 1 8.13h 50 10560,000000 123
Aéroport_international_de_Pékin Aéroport_JFK 11 1 2019 2 9.13h 50 15400,000000 132
Aéroport_international_de_Pékin Aéroport_international_de_Del_Rio 11 1 2019 1 5.13h 50 14500,000000 123
Aéroport_international_de_Pékin Aéroport_Gimpo 11 1 2019 1 2.13h 50 21,000000 132
Aéroport_international_de_Pékin Aéroport_international_de_London 11 1 2019 1 9.30h 50 450,000000 123
